country,date,value
ES,2020-07-01,-0.503037108000177
ES,2020-10-01,-0.718742353804745
ES,2021-01-01,0.59316060038172
ES,2021-04-01,2.55985058382859
ES,2021-07-01,3.39722396692507
ES,2021-10-01,5.81176043731114
ES,2022-01-01,7.86080535995081
ES,2022-04-01,9.09906502010229
ES,2022-07-01,10.0594105670705
ES,2022-10-01,6.58982686783464
ES,2023-01-01,5.0536230414279
ES,2023-04-01,3.05059158525208
ES,2023-07-01,2.81790088825143
ES,2023-10-01,3.26708123545137
FR,2010-01-01,1.32457462847297
FR,2010-04-01,1.61359417392542
FR,2010-07-01,1.54302246669284
FR,2010-10-01,1.64191330982655
FR,2011-01-01,1.79615261983205
FR,2011-04-01,2.06576728499158
FR,2011-07-01,2.13866122621272
FR,2011-10-01,2.44235755834329
FR,2012-01-01,2.31433145402659
FR,2012-04-01,1.99986231584744
FR,2012-07-01,1.97678823569926
FR,2012-10-01,1.53240978279457
FR,2013-01-01,1.06126058709481
FR,2013-04-01,0.806533256842024
FR,2013-07-01,0.938840295836045
FR,2013-10-01,0.650203820368581
FR,2014-01-01,0.727003466729499
FR,2014-04-01,0.629351901446206
FR,2014-07-01,0.398139783866961
FR,2014-10-01,0.277814968536604
FR,2015-01-01,-0.240585424533032
FR,2015-04-01,0.21290751829671
FR,2015-07-01,0.0833111170353788
FR,2015-10-01,0.0934610634533553
FR,2016-01-01,-0.0401942723161952
FR,2016-04-01,-0.00663922453851106
FR,2016-07-01,0.279692338427732
FR,2016-10-01,0.500216760596262
FR,2017-01-01,1.23311999463855
FR,2017-04-01,0.886395325675544
FR,2017-07-01,0.869940565129304
FR,2017-10-01,1.14145402661175
FR,2018-01-01,1.36043163086299
FR,2018-04-01,1.89542268584028
FR,2018-07-01,2.248263603147
FR,2018-10-01,1.89626324595654
FR,2019-01-01,1.22134413167008
FR,2019-04-01,1.12384950750848
FR,2019-07-01,1.00444272744834
FR,2019-10-01,1.08503171383498
FR,2020-01-01,1.19370241321459
FR,2020-04-01,0.297001245489141
FR,2020-07-01,0.347421431758708
FR,2020-10-01,0.0764428589629257
FR,2021-01-01,0.74284256838614
FR,2021-04-01,1.38190154747495
FR,2021-07-01,1.72474033605444
FR,2021-10-01,2.71801400381918
FR,2022-01-01,3.65834361846893
FR,2022-04-01,5.2889447236181
FR,2022-07-01,5.84837319677767
FR,2022-10-01,6.06680299931841
FR,2023-01-01,5.98992520225915
FR,2023-04-01,5.17539673070036
FR,2023-07-01,4.68155402814241
FR,2023-10-01,3.71874269689175
IT,2010-01-01,1.29016451634369
IT,2010-04-01,1.40469341259238
IT,2010-07-01,1.61874987427835
IT,2010-10-01,1.78614977331558
IT,2011-01-01,2.338569675427
IT,2011-04-01,2.67136896864745
IT,2011-07-01,2.80584515014321
IT,2011-10-01,3.30016514599774
IT,2012-01-01,3.25016694086932
IT,2012-04-01,3.28454977479016
IT,2012-07-01,3.16844867698706
IT,2012-10-01,2.47111653410346
IT,2013-01-01,1.90778831175231
IT,2013-04-01,1.16499067413779
IT,2013-07-01,1.12817725486043
IT,2013-10-01,0.689006645472849
IT,2014-01-01,0.49921927494822
IT,2014-04-01,0.43571459830591
IT,2014-07-01,-0.0619982133081793
IT,2014-10-01,0.0933093304615406
IT,2015-01-01,-0.248364721709797
IT,2015-04-01,0.0619948964974636
IT,2015-07-01,0.186046691472915
IT,2015-10-01,0.155367234941252
IT,2016-01-01,-0.0949298912992603
IT,2016-04-01,-0.390216002085382
IT,2016-07-01,-0.0193307051115429
IT,2016-10-01,0.128773207061302
IT,2017-01-01,1.33958472873421
IT,2017-04-01,1.50401069518713
IT,2017-07-01,1.13144758735433
IT,2017-10-01,0.93271152564957
IT,2018-01-01,0.727032385988007
IT,2018-04-01,0.921962462956962
IT,2018-07-01,1.48075024679176
IT,2018-10-01,1.41914191419135
IT,2019-01-01,0.951443569553872
IT,2019-04-01,0.848287112561145
IT,2019-07-01,0.356679636835322
IT,2019-10-01,0.292873413602354
IT,2020-01-01,0.292492687682819
IT,2020-04-01,-0.129407958589428
IT,2020-07-01,-0.484652665589679
IT,2020-10-01,-0.227125243348453
IT,2021-01-01,0.583279325988356
IT,2021-04-01,1.19857466796235
IT,2021-07-01,2.17532467532464
IT,2021-10-01,3.54471544715448
IT,2022-01-01,5.67010309278338
IT,2022-04-01,6.91421254801536
IT,2022-07-01,8.38894184938041
IT,2022-10-01,11.7462311557789
IT,2023-01-01,8.9024390243903
IT,2023-04-01,7.39520958083841
IT,2023-07-01,5.57021401348571
IT,2023-10-01,0.983698707138826
NL,2010-01-01,0.884791944321046
NL,2010-04-01,0.970447138096459
NL,2010-07-01,1.5592093109182
NL,2010-10-01,1.68760823906553
NL,2011-01-01,1.86415177424681
NL,2011-04-01,2.11809081677066
NL,2011-07-01,2.87044784807357
NL,2011-10-01,2.50751893321738
NL,2012-01-01,2.47847544940381
NL,2012-04-01,2.20556897286544
NL,2012-07-01,2.29169613806761
NL,2012-10-01,2.84562904309096
NL,2013-01-01,2.96340563152527
NL,2013-04-01,2.74872293845778
NL,2013-07-01,2.77278384732405
NL,2013-10-01,1.55702206640546
NL,2014-01-01,1.09593717992487
NL,2014-04-01,0.987554112554123
NL,2014-07-01,0.918387943214671
NL,2014-10-01,0.903645040105629
NL,2015-01-01,0.162101921583198
NL,2015-04-01,0.880776959142707
NL,2015-07-01,0.733357778592671
NL,2015-10-01,0.620513852552448
NL,2016-01-01,0.583296807040092
NL,2016-04-01,0.00331972247113116
NL,2016-07-01,0.00661835269205675
NL,2016-10-01,0.680022667422329
NL,2017-01-01,1.52855993563956
NL,2017-04-01,1.24817421325193
NL,2017-07-01,1.38976208596667
NL,2017-10-01,1.36079197430714
NL,2018-01-01,1.22820919175907
NL,2018-04-01,1.51803278688528
NL,2018-07-01,2.02995985770699
NL,2018-10-01,2.03175017965636
NL,2019-01-01,2.54076973255065
NL,2019-04-01,2.65801117462771
NL,2019-07-01,2.66769024085977
NL,2019-10-01,2.66679472403641
NL,2020-01-01,1.61264671268166
NL,2020-04-01,1.31189832001509
NL,2020-07-01,1.16210237716918
NL,2020-10-01,1.01032149427792
NL,2021-01-01,1.75295811682211
NL,2021-04-01,2.00602428345198
NL,2021-07-01,2.16507545426553
NL,2021-10-01,4.76337480319819
NL,2022-01-01,7.44477942533688
NL,2022-04-01,8.95613260677639
NL,2022-07-01,12.2629849576463
NL,2022-10-01,11.2505893446488
NL,2023-01-01,6.61971024451701
NL,2023-04-01,5.64108295381521
NL,2023-07-01,2.5724336081201
NL,2023-10-01,0.805212692694804
