country,date,value
NL,2019-01-01,183877.8227418
NL,2019-04-01,184699.71993572
NL,2019-07-01,185579.28832372
NL,2019-10-01,185774.83276361
NL,2020-01-01,183662.61362038
NL,2020-04-01,168354.78262362
NL,2020-07-01,179430.78093881
NL,2020-10-01,180184.23757876
NL,2021-01-01,181733.66863064
NL,2021-04-01,188853.58923566
NL,2021-07-01,192443.26279565
NL,2021-10-01,192772.42361625
NL,2022-01-01,194609.83752689
NL,2022-04-01,199771.93090617
NL,2022-07-01,199746.51691283
NL,2022-10-01,199521.40337226
NL,2023-01-01,199216.9696803
NL,2023-04-01,198808.0053591
NL,2023-07-01,197944.29421753
NL,2023-10-01,198359.90671049
